Org Number,Legal Name,SNI Code,Region,Classification,Legal Form,Founded Year,Personnel Costs,Board Total,Board Women,Board Men,Total Funding,turnover_first_year,turnover_last_year,turnover_first_value,turnover_last_value,turnover_cagr_pct,employees_first_year,employees_last_year,employees_first_value,employees_last_value,employees_cagr_pct,turnover_2023,turnover_2024,employees_2023,employees_2024,efficiency_growth_gap_pct,turnover_per_employee_2024,sni_2digit,division_interval,section_code,section_desc,time_span,log_turnover_2024,log_employees_2024,log_turnover_per_employee_2024,firm_age_2024,board_women_share,log_personnel_costs,log_total_funding
ORG_03496,Company_03496,86909,Stockholms län,Startup,aktiebolag,2020,8411000.0,1.0,0.0,1.0,1444772.0,2020.0,2024.0,1328000.0,7789000.0,55.62196946451574,2020.0,2024.0,4.0,10.0,25.743342968293547,3204000.0,7789000.0,5.0,10.0,29.878626496222196,778900.0,86,86-88,R,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,4.0,15.868223168288264,2.3978952727983707,13.565639230769072,4.0,0.0,15.945051049836495,14.1834627737626
ORG_03519,Company_03519,81221,Västmanlands län,Startup,aktiebolag,2020,2613000.0,4.0,0.0,4.0,160000.0,2020.0,2024.0,174000.0,6379000.0,146.06556313818353,2020.0,2024.0,1.0,5.0,49.53487812212205,5068000.0,6379000.0,4.0,5.0,96.53068501606148,1275800.0,81,77-82,O,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,4.0,15.668522059988463,1.791759469228055,14.0590847746116,4.0,0.0,14.776009927204552,11.982935344196433
ORG_03522,Company_03522,70220,Gävleborgs län,Startup,aktiebolag,2021,729000.0,1.0,1.0,0.0,442510.0,2021.0,2024.0,701000.0,1224000.0,20.41699908641963,2021.0,2024.0,1.0,1.0,0.0,943000.0,1224000.0,1.0,1.0,20.41699908641963,1224000.0,70,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3.0,14.01763555904754,0.6931471805599453,14.01763555904754,3.0,1.0,13.499430382731967,13.00022060187821
ORG_03527,Company_03527,72190,Västra Götalands län,Startup,aktiebolag,2021,,4.0,0.0,4.0,2433512.0,2021.0,2024.0,298000.0,1089000.0,54.029488029915896,2021.0,2024.0,2.0,2.0,0.0,3585000.0,1089000.0,2.0,2.0,54.029488029915896,544500.0,72,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3.0,13.900771320188321,1.0986122886681098,13.207625057900756,3.0,0.0,,14.704846450341233
ORG_03530,Company_03530,4671,Stockholms län,Startup,aktiebolag,2020,10743000.0,7.0,2.0,5.0,1200000.0,2020.0,2024.0,15000.0,10068000.0,408.99437976797,2021.0,2024.0,2.0,14.0,91.29311827723889,10496000.0,10068000.0,11.0,14.0,317.7012614907311,719142.8571428572,46,46-47,G,WHOLESALE AND RETAIL TRADE,4.0,16.124872734561933,2.70805020110221,13.485816696165417,4.0,0.2857142857142857,16.189765030732545,13.997832948091215
ORG_03553,Company_03553,62010,Uppsala län,Startup,aktiebolag,2021,6782000.0,6.0,1.0,5.0,1096856.58,2021.0,2024.0,25000.0,9045000.0,612.5623214184762,2021.0,2024.0,1.0,10.0,115.44346900318838,3794000.0,9045000.0,7.0,10.0,497.11885241528785,904500.0,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",3.0,16.017722787369845,2.3978952727983707,13.71513868940007,3.0,0.16666666666666666,15.72978274911684,13.907959904028774
ORG_03563,Company_03563,58210,Blekinge län,Startup,aktiebolag,2020,1337000.0,1.0,0.0,1.0,30000.0,2020.0,2024.0,24000.0,1954000.0,200.38506047670617,2021.0,2024.0,1.0,5.0,70.99759466766969,1871000.0,1954000.0,5.0,5.0,129.38746580903648,390800.0,58,58-60,J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",4.0,14.485389623355461,1.791759469228055,12.875953758001124,4.0,0.0,14.105939604026958,10.308985993422082
ORG_03574,Company_03574,58290,Jönköpings län,Startup,aktiebolag,2021,3253000.0,3.0,0.0,3.0,250000.0,2021.0,2024.0,76000.0,7990000.0,371.9663790140547,2021.0,2024.0,5.0,6.0,6.265856918261115,5191000.0,7990000.0,4.0,6.0,365.7005220957936,1331666.6666666667,58,58-60,J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",3.0,15.893701442898895,1.9459101490553132,14.101942599452794,3.0,0.0,14.995088512863987,12.429220196836383
ORG_03575,Company_03575,46699,Jönköpings län,Startup,aktiebolag,2021,4170000.0,7.0,0.0,7.0,1061863.97,2021.0,2024.0,2001000.0,14149000.0,91.93737575079474,2021.0,2024.0,1.0,4.0,58.74010519681994,11642000.0,14149000.0,3.0,4.0,33.1972705539748,3537250.0,46,46-47,G,WHOLESALE AND RETAIL TRADE,3.0,16.46515457885446,1.6094379124341003,15.078860429763651,3.0,0.0,15.24342683358311,13.875537325807514
ORG_03578,Company_03578,58290,Stockholms län,Startup,aktiebolag,2021,5376000.0,3.0,1.0,2.0,300000.0,2021.0,2024.0,106000.0,3574000.0,223.05978097775068,2021.0,2024.0,1.0,5.0,70.99759466766969,697000.0,3574000.0,5.0,5.0,152.062186310081,714800.0,58,58-60,J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES",3.0,15.089196254500017,1.791759469228055,13.479759461259157,3.0,0.3333333333333333,15.49745534719701,12.611541086966115
