Org Number,Legal Name,SNI Code,Region,Classification,turnover_first_year,turnover_last_year,turnover_first_value,turnover_last_value,turnover_cagr_pct,employees_first_year,employees_last_year,employees_first_value,employees_last_value,employees_cagr_pct,turnover_2023,turnover_2024,employees_2023,employees_2024,efficiency_growth_gap_pct,cagr_per_employee,turnover_per_employee_2024,scalability_ratio,sni_2digit,division_interval,section_code,section_desc,sni_category
ORG_03223,Company_03223,10890,Gävleborgs län,Startup,2020.0,2024.0,3000.0,15552000.0,748.528137423857,2020.0,2024.0,1.0,18.0,105.97671439071176,5756000.0,15552000.0,9.0,18.0,642.5514230331452,41.584896523547606,864000.0,7.063137800858837,10,10-33,C,MANUFACTURING,10-33 C - MANUFACTURING
ORG_03225,Company_03225,71124,Stockholms län,Startup,2020.0,2024.0,106000.0,7605000.0,191.03708928382054,2022.0,2024.0,2.0,6.0,73.20508075688772,4372000.0,7605000.0,6.0,6.0,117.83200852693281,31.839514880636756,1267500.0,2.609615170267348,71,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_03237,Company_03237,63910,Skåne län,Startup,2020.0,2024.0,687000.0,1467000.0,20.883866953065787,2020.0,2024.0,2.0,1.0,-15.91035847462855,1430000.0,1467000.0,1.0,1.0,36.794225427694336,20.883866953065787,1467000.0,-1.3125956267024557,63,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_03246,Company_03246,71129,Stockholms län,Startup,2020.0,2024.0,54000.0,3132000.0,175.96690210718947,2020.0,2024.0,1.0,4.0,41.42135623730952,3271000.0,3132000.0,3.0,4.0,134.54554586987996,43.99172552679737,783000.0,4.248216815959554,71,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ORG_03293,Company_03293,28990;33120,Blekinge län,Startup,2020.0,2024.0,1547000.0,153692000.0,215.7113803889173,2020.0,2024.0,5.0,23.0,46.4500276187315,105168000.0,153692000.0,18.0,23.0,169.2613527701858,9.378755669083361,6682260.869565218,4.643945148095654,28,10-33,C,MANUFACTURING,10-33 C - MANUFACTURING
ORG_03314,Company_03314,85599;88101,Västernorrlands län,Startup,2020.0,2024.0,6274000.0,76356000.0,86.77754542323586,2020.0,2024.0,9.0,42.0,46.97778401749315,123030000.0,76356000.0,60.0,42.0,39.799761405742714,2.0661320338865683,1818000.0,1.8472038909055917,85,85,Q,EDUCATION,85 Q - EDUCATION
ORG_03333,Company_03333,56210,Skåne län,Startup,2020.0,2024.0,408000.0,12328000.0,134.45425321981236,2020.0,2024.0,1.0,2.0,18.920711500272102,13055000.0,12328000.0,1.0,2.0,115.53354171954025,67.22712660990618,6164000.0,7.1061943530970675,56,55-56,I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,55-56 I - ACCOMMODATION AND FOOD SERVICE ACTIVITIES
ORG_03350,Company_03350,62010,Västra Götalands län,Startup,2020.0,2024.0,281000.0,1164000.0,42.663102728619975,2020.0,2024.0,1.0,3.0,31.60740129524924,899000.0,1164000.0,4.0,3.0,11.055701433370736,14.221034242873325,388000.0,1.349782044088277,62,61-63,K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES","61-63 K - TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES"
ORG_03370,Company_03370,58290;77110,Västra Götalands län,Startup,2021.0,2024.0,25000.0,386000.0,149.009413470777,2021.0,2024.0,1.0,1.0,0.0,121000.0,386000.0,1.0,1.0,149.009413470777,149.009413470777,386000.0,,58,58-60,J,"PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES","58-60 J - PUBLISHING, BROADCASTING, AND CONTENT PRODUCTION AND DISTRIBUTION ACTIVITIES"
ORG_03399,Company_03399,70220,Hallands län,Startup,2020.0,2024.0,164000.0,353000.0,21.12469998034008,2020.0,2024.0,1.0,2.0,18.920711500272102,1082000.0,353000.0,2.0,2.0,2.203988480067977,10.56234999017004,176500.0,1.1164854968607434,70,69-75,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES","69-75 N - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
